idno	group
POR0057_APLopMen_Doido	T2_1860-79
POR0028_SMagLim_Viscondessa	T2_1860-79
POR0059_AntFBar_Duelo	T2_1860-79
POR0010_CamCB_Perdicao	T2_1860-79
POR0024_AlfCam_Cabinda	T2_1860-79
POR0015_JulDin_Fidalgos	T2_1860-79
POR0001_JulDin_Morgadinha	T2_1860-79
POR0067_OliMar_Febo	T2_1860-79
POR0084_FraLGom_Bramanes	T2_1860-79
POR0045_AntATVas_Castromino	T2_1860-79
POR0044_MAVC_Alice	T2_1860-79
POR0064_AntFBar_Manuelinho	T2_1860-79
POR0030_FelCas_Chave	T2_1860-79
POR0089_AlvCar_Canibais	T2_1860-79
POR0061_LopSou_Lagrimas	T2_1860-79
POR0085_AugSar_Providencia	T2_1860-79
POR0073_MatMor_Tempestades	T2_1860-79
POR0007_JulDin_Inglesa	T2_1860-79
POR0034_TomMel_Luiz	T2_1860-79
POR0088_PerVar_Miseraveis	T2_1860-79
POR0035_MauFig_Exilado	T4_1900-20
POR0019_MarSC_Lucio	T4_1900-20
POR0087_MarMes_Impostores	T4_1900-20
POR0041_JoJoGra_Morte	T4_1900-20
POR0078_EduNor_Agonizar	T4_1900-20
POR0002_AnaCO_Sacrificada	T4_1900-20
POR0033_ACCSA_Anselmo	T4_1900-20
POR0083_AliPes_Prejuizo	T4_1900-20
POR0062_AnaCO_Diario	T4_1900-20
POR0020_AbeBot_Crioulo	T4_1900-20
POR0054_AbeBot_Amanha	T4_1900-20
POR0017_MJPCha_Meianoite	T4_1900-20
POR0013_RauBra_Pobres	T4_1900-20
POR0065_MarONei_Marquesa	T4_1900-20
POR0018_AntAlb_Bacalhoa	T4_1900-20
POR0052_RauBra_Farsa	T4_1900-20
POR0080_JoaCam_CastelMelhor	T4_1900-20
POR0008_EcaQue_Ramires	T4_1900-20
POR0042_TeoBra_Viriato	T4_1900-20
POR0086_MBenPin_Marina	T4_1900-20
