idno	group
DEU042	T2_1860-79
DEU035	T2_1860-79
DEU036	T2_1860-79
DEU039	T2_1860-79
DEU045	T2_1860-79
DEU041	T2_1860-79
DEU032	T2_1860-79
DEU027	T2_1860-79
DEU040	T2_1860-79
DEU048	T2_1860-79
DEU037	T2_1860-79
DEU038	T2_1860-79
DEU028	T2_1860-79
DEU046	T2_1860-79
DEU033	T2_1860-79
DEU031	T2_1860-79
DEU026	T2_1860-79
DEU047	T2_1860-79
DEU044	T2_1860-79
DEU034	T2_1860-79
DEU080	T4_1900-20
DEU099	T4_1900-20
DEU089	T4_1900-20
DEU084	T4_1900-20
DEU100	T4_1900-20
DEU092	T4_1900-20
DEU077	T4_1900-20
DEU079	T4_1900-20
DEU097	T4_1900-20
DEU088	T4_1900-20
DEU081	T4_1900-20
DEU078	T4_1900-20
DEU095	T4_1900-20
DEU087	T4_1900-20
DEU085	T4_1900-20
DEU090	T4_1900-20
DEU098	T4_1900-20
DEU076	T4_1900-20
DEU096	T4_1900-20
DEU094	T4_1900-20
