idno	group
HU07703	T2_1860-79
HU05573	T2_1860-79
HU07694	T2_1860-79
HU18964	T2_1860-79
HU14745	T2_1860-79
HU18411	T2_1860-79
HU14664	T2_1860-79
HU18993	T2_1860-79
HU00731	T2_1860-79
HU02143	T2_1860-79
HU19000	T2_1860-79
HU17910	T2_1860-79
HU17960	T2_1860-79
HU17999	T2_1860-79
HU00726	T2_1860-79
HU14769	T2_1860-79
HU05620	T2_1860-79
HU07693	T2_1860-79
HU07718	T2_1860-79
HU16672	T2_1860-79
HU00719	T4_1900-20
HU17435	T4_1900-20
HU02028	T4_1900-20
HU00763	T4_1900-20
HU11129	T4_1900-20
HU16344	T4_1900-20
HU17653	T4_1900-20
HU16824	T4_1900-20
HU17606	T4_1900-20
HU05286	T4_1900-20
HU17048	T4_1900-20
HU11795	T4_1900-20
HU00949	T4_1900-20
HU10428	T4_1900-20
HU16529	T4_1900-20
HU12750	T4_1900-20
HU05964	T4_1900-20
HU13606	T4_1900-20
HU12359	T4_1900-20
HU00662	T4_1900-20
