idno	group
FRA04001_Verne	T2_1860-79
FRA02602_Malot	T2_1860-79
FRA06401_Chandeneux	T2_1860-79
FRA03302_Rattazzi	T2_1860-79
FRA01402_Fleuriot	T2_1860-79
FRA00302_Aimard	T2_1860-79
FRA04102_Erckmann	T2_1860-79
FRA01401_Fleuriot	T2_1860-79
FRA07201_Montagne	T2_1860-79
FRA06801_Vaillant	T2_1860-79
FRA01303_Flaubert	T2_1860-79
FRA01301_Flaubert	T2_1860-79
FRA02303_Greville	T2_1860-79
FRA03903_Stolz	T2_1860-79
FRA06901_Vignon	T2_1860-79
FRA01902_Gaboriau	T2_1860-79
FRA02302_Greville	T2_1860-79
FRA02203_Gouraud	T2_1860-79
FRA00101_Adam	T2_1860-79
FRA00901_Daudet	T2_1860-79
FRA00201_Audoux	T4_1900-20
FRA02401_LeRouge	T4_1900-20
FRA01501_France	T4_1900-20
FRA04601_Bazin	T4_1900-20
FRA05801_Mille	T4_1900-20
FRA05101_Eekhoud	T4_1900-20
FRA04401_Barbusse	T4_1900-20
FRA07401_Leblanc	T4_1900-20
FRA01002_DelarueMardrus	T4_1900-20
FRA04701_Bourget	T4_1900-20
FRA05901_Moselly	T4_1900-20
FRA05501_Lermina	T4_1900-20
FRA04501_Barres	T4_1900-20
FRA03601_Proust	T4_1900-20
FRA06001_Rebell	T4_1900-20
FRA04801_Corday	T4_1900-20
FRA01603_GautierJ	T4_1900-20
FRA02001_Gilbert	T4_1900-20
FRA04202_Rolland	T4_1900-20
FRA06601_Peladan	T4_1900-20
